id,source,periodicity,geographic_extent,measure,divisions
03,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
030,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0303,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0304,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0307,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0308,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0309,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
031,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0310,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0311,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0312,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0313,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0315,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0318,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
035,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0355,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0356,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0357,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0358,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
036,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0365,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0367,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
037,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0375,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0376,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0377,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0378,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
037,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0385,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0387,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
039,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0391,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0392,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0393,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0394,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0395,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0396,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
04,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
040,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0401,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0407,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0408,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
041,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0412,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0414,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0415,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0418,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0419,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
042,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0422,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0423,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0424,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0425,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0428,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0429,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
043,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0430,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0431,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0432,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0433,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0434,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
044,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0440,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0441,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0442,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0443,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
047,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0470,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0471,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0472,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0473,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0474,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0475,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0476,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0477,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0478,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0479,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
05,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
060,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0607,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0609,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
061,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0610,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0611,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0613,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0614,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0615,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0616,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
064-069,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0640,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0641,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0642,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0643,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0648,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0649,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0650,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0651,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0652,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0653,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0654,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0655,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0660,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0661,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0662,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0663,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0669,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0670,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0671,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0672,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0673,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0674,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0675,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0676,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
-0681,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0682,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0684,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0685,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0686,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0687,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0688,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0689,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0690,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0691,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0692,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0693,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0694,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0695,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0696,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0697,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0698,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0699,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
071,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0711,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0712,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
08,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
080,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0801,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0802,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0803,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0804,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0805,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0806,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0807,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0808,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0809,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
081,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0811,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0812,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0813,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0814,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0815,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0816,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0817,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0818,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0819,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0820,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0821,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0822,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0823,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0825,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0826,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0827,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0829,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
083,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0830,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0831,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0832,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0833,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0834,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0835,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0836,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0837,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0838,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0839,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
084-089,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0840,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0841,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0846,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0847,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0848,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0849,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0850,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0851,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
0852,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
