id,source,periodicity,geographic_extent,measure,divisions
alkohol- och narkotikabrott,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
bilbrott,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
fickstölder,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
"hot-, kränknings- och frihetsbrott",BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
lägenhets- och villainbrott,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
misshandelsfall,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
narkotikabrott,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
rån,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
skadegörelser på motorfordon,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
skadegörelsebrott,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
"stölder och snatteri i butik, varuhus.",BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
stölder ur och från motorfordon (stöldbrott),BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
stölder ur och från motorfordon (bilbrott),BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
bilstölder,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
bilstölder,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
cykelstölder,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
stöldbrott,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
fullbordade bilstölder,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
bilstöldsförsök,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
brottsanmälningar totalt,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
vapenbrott,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
trafikbrott,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
våldsbrott,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
vårdslöshet- och vållandebrott,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
övrig stölder,BRÅ,month,Sweden,count,"counties,municipalities,city_districts"
