id,source,periodicity,geographic_extent,measure,divisions
alkohol- och narkotikabrott,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
bilbrott,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
fickstölder,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
"hot-, kränknings- och frihetsbrott",BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
lägenhets- och villainbrott,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
misshandelsfall,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
narkotikabrott,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
rån,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
skadegörelser på motorfordon,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
skadegörelsebrott,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
"stölder och snatteri i butik, varuhus.",BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
stölder ur och från motorfordon (stöldbrott),BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
stölder ur och från motorfordon (bilbrott),BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
bilstölder,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
bilstölder,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
cykelstölder,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
stöldbrott,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
fullbordade bilstölder,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
bilstöldsförsök,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
brottsanmälningar totalt,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
vapenbrott,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
trafikbrott,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
våldsbrott,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
vårdslöshet- och vållandebrott,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
övrig stölder,BRÅ,quarter,Sweden,count,"counties,municipalities,city_districts"
