id,label,parent
4105,"Ekonomisk brottslighet, Skattebrott, grovt skattebrott, Grovt skattebrott ",3157
4106,"Skadegörelse (inkl. mordbrand), Skadegörelse, grov skadegörelse, åverkan, Klotter, Klotter mot kollektivtrafiken",3151
4107,"Skadegörelse (inkl. mordbrand), Skadegörelse, grov skadegörelse, åverkan, Klotter, Övrigt klotter ",3151
4117,"Sexualbrott, Utnyttjande av barn för sexuell posering inkl grov",3147
4118,"Ekonomisk brottslighet, Borgenärsbrott, Försvårande av konkurs eller exekutiv förrättning",3157
4119,"Sexualbrott, Barnpornografibrott inkl. grovt , Internetrelaterat",3300
4120,"Sexualbrott, Barnpornografibrott inkl. grovt , Övriga fall",3300
4121,"Bedrägeri- och förfalskningsbrott, Bedrägeri, grovt bedrägeri, bedrägligt beteende, Med hjälp av Internet",3156
4122,"Hot-, kränknings- och frihetsbrott, Överträdelse av tillträdesförbud vid idrottsanläggn",3148
4123,"Miljöbrott (djur och natur), Brott mot jaktlagen, Illegal rovdjursjakt (varg björn järv lo kungsörn)",3158
4124,"Miljöbrott (djur och natur), Brott mot jaktlagen, Övriga brott mot jaktlagen",3158
4125,"Stöld-, rån- och häleribrott, Stöld, tillgrepp av fordon, Bil (ingår även i bilbrott), Fullbordat (ingår även i bilbrott), Lastbil, släp, järnvägsv o d yrkesm godsbeford",3366
4126,"Stöld-, rån- och häleribrott, Stöld, tillgrepp av fordon, Bil (ingår även i bilbrott), Fullbordat (ingår även i bilbrott), Övriga bilar",3366
4128,"Stöld-, rån- och häleribrott, Stöld ur och från fordon etc., Motorfordon (ingår även i bilbrott), Övriga motorfordon",3367
4129,"Bilbrott, Stöld, tillgrepp av bil (ingår även i stöldbrott), Fullbordat (ingår även i stöldbrott), Lastbil, släp, järnvägsvagn o d yrkesm godsbefordr",3481
4130,"Bilbrott, Stöld, tillgrepp av bil (ingår även i stöldbrott), Fullbordat (ingår även i stöldbrott), Övriga bilar",3481
4132,"Bilbrott, Stöld ur och från motordrivet fordon (ingår även i stöldbrott), Övriga motorfordon",3481
4134,"Bilbrott, Under yrkesmässig transport",3481
4139,"Stöld-, rån- och häleribrott, Stöld ur och från fordon etc., Under yrkesmässig transport, Lastbil,släp, järnvägsvagn o. dyl.",3367
4140,"Bilbrott, Under yrkesmässig transport, Lastbil, släp, järnvägsvagn o. dyl.",3481
4255,"Våldsbrott, Misshandel inkl.grov, Mot flicka 0-6 år",3161
4256,"Våldsbrott, Misshandel inkl.grov, Mot flicka 0-6 år, Inomhus",3161
4257,"Våldsbrott, Misshandel inkl.grov, Mot flicka 0-6 år, Utomhus",3161
4258,"Våldsbrott, Misshandel inkl.grov, Mot flicka 0-6 år, Bekant med offret",3161
4259,"Våldsbrott, Misshandel inkl.grov, Mot flicka 0-6 år, Obekant med offret",3161
4260,"Våldsbrott, Misshandel inkl.grov, Mot flicka 0-6 år, Inomhus, obekant med offret",3161
4261,"Våldsbrott, Misshandel inkl.grov, Mot flicka 0-6 år, Inomhus, bekant med offret",3161
4262,"Våldsbrott, Misshandel inkl.grov, Mot flicka 0-6 år, Utomhus, obekant med offret",3161
4263,"Våldsbrott, Misshandel inkl.grov, Mot flicka 0-6 år, Utomhus, bekant med offret",3161
4264,"Våldsbrott, Misshandel inkl.grov, Mot pojke 0-6 år",3161
4265,"Våldsbrott, Misshandel inkl.grov, Mot pojke 0-6 år, Inomhus",3161
4266,"Våldsbrott, Misshandel inkl.grov, Mot pojke 0-6 år, Utomhus",3161
4267,"Våldsbrott, Misshandel inkl.grov, Mot pojke 0-6 år, Bekant med offret",3161
4268,"Våldsbrott, Misshandel inkl.grov, Mot pojke 0-6 år, Obekant med offret",3161
4269,"Våldsbrott, Misshandel inkl.grov, Mot pojke 0-6 år, Inomhus, obekant med offret",3161
4270,"Våldsbrott, Misshandel inkl.grov, Mot pojke 0-6 år, Inomhus, bekant med offret",3161
4271,"Våldsbrott, Misshandel inkl.grov, Mot pojke 0-6 år, Utomhus, obekant med offret",3161
4272,"Våldsbrott, Misshandel inkl.grov, Mot pojke 0-6 år, Utomhus, bekant med offret",3161
4273,"Våldsbrott, Misshandel inkl.grov, Mot flicka 7-14 år",3161
4274,"Våldsbrott, Misshandel inkl.grov, Mot flicka 7-14 år, Inomhus",3161
4275,"Våldsbrott, Misshandel inkl.grov, Mot flicka 7-14 år, Utomhus",3161
4276,"Våldsbrott, Misshandel inkl.grov, Mot flicka 7-14 år, Bekant med offret",3161
4277,"Våldsbrott, Misshandel inkl.grov, Mot flicka 7-14 år, Obekant med offret",3161
4278,"Våldsbrott, Misshandel inkl.grov, Mot flicka 7-14 år, Inomhus, bekant med offret",3161
4280,"Våldsbrott, Misshandel inkl.grov, Mot flicka 7-14 år, Inomhus, obekant med offret",3161
4281,"Våldsbrott, Misshandel inkl.grov, Mot flicka 7-14 år, Utomhus, bekant med offret",3161
4282,"Våldsbrott, Misshandel inkl.grov, Mot flicka 7-14 år, Utomhus, obekant med offret",3161
4283,"Våldsbrott, Misshandel inkl.grov, Mot pojke 7-14 år",3161
4284,"Våldsbrott, Misshandel inkl.grov, Mot pojke 7-14 år, Inomhus",3161
4285,"Våldsbrott, Misshandel inkl.grov, Mot pojke 7-14 år, Utomhus",3161
