id,level,parent,name
2761,1,,03 totalt
90000,2,2761,försök till mord och dråp
2772,3,90000,försök till mord eller dråp utan skjutvapen mot kvinna/flickor
2773,3,90000,försök till mord eller dråp utan skjutvapen mot man/pojkar
2776,3,90000,försök till mord eller dråp med skjutvapen mot kvinna/flickor
2777,3,90000,försök till mord eller dråp med skjutvapen mot man/pojkar
2778,3,90000,barnadråp
90001,2,2761,fullbordade mord eller dråp
2779,3,90001,fullbordade mord eller dråp utan skjutvapen mot kvinna/flickor
2780,3,90001,fullbordade mord eller dråp utan skjutvapen mot man/pojkar
2781,3,90001,fullbordade mord eller dråp med skjutvapen mot kvinna/flickor
2782,3,90001,fullbordade mord eller dråp med skjutvapen mot man/pojkar
2784,3,90001,vållande till annans död i samband med trafikolycka
2786,3,90001,"vållande till kroppsskada/sjukdom,ej i samb m trafikolycka(upph.år 1983)"
90002,2,2761,"misshandelsfall, utomhus"
2804,3,90002,misshandelsfall utomhus mot kvinnor 18 år eller äldre som inte är bekant med offret
2805,3,90002,misshandelsfall utomhus mot kvinnor 18 år eller äldre som är bekant med offret
2806,3,90002,misshandelsfall utomhus mot män äldre än 18 år där offret är obekant
2807,3,90002,misshandelsfall utomhus mot män äldre än 18 år där offret är bekant
90003,2,2761,"misshandelsfall inomhus, 18 år eller äldre som inte är bekanta med offret"
2812,3,90003,misshandelsfall inomhus mot kvinnor 18 år eller äldre som inte är bekanta med offret
2814,3,90003,misshandelsfall inomhus mot män 18 år eller äldre som inte är bekanta med offret
90004,2,2761,"grova misshandelsfall utomhus, 18 år eller äldre"
2820,3,90004,grova misshandelsfall utomhus mot kvinnor 18 år eller äldre som är inte bekanta med offret
2821,3,90004,grova misshandelsfall utomhus mot kvinnor 18 år eller äldre där gärningsmännen varit bekanta med offret
2822,3,90004,grova misshandelsfall utomhus mot män 18 år eller äldre som är inte bekanta med offret
2823,3,90004,grova misshandelsfall utomhus mot män 18 år eller äldre där gärningsmännen varit bekanta med offret
90005,2,2761,"grova misshandelsfall inomhus, 18 år eller äldre"
2828,3,90005,grova misshandelsfall inomhus mot kvinnor 18 år eller äldre som är inte bekanta med offret
2830,3,90005,"grova misshandelsfall inomhus mot män 18 år eller äldre, obek m offret"
90006,2,2761,vållande till annans död
2832,3,90006,vållande till annans död i samband med arbetsolyckor
2833,3,90006,vållande till annans död i övriga fall
2834,3,90006,vållande till kroppsskada i samband med arbetsolyckor
2835,3,90006,vållande till kroppsskada i övriga fall
2836,3,90006,framkallande av fara för arbetstagare
2837,3,90006,framkallande av fara i övriga fall
2762,1,,04 totalt
90007,2,2762,hemfridsbrott och ofredande
2838,3,90007,hemfridsbrott och olaga intrång
2844,3,90007,ofredande mot män 18 år eller äldre
2845,3,90007,ofredande mot kvinnor 18 år eller äldre
90008,2,2762,"grova kvinnofridskränkningar, ofredanden mot grupp, dataintrång och fall av människohandel för sexuella ändamål"
