id,label,parent
bra_5036,Totalt antal brott,
bra_11084,Brott mot brottsbalken,
bra_11085,Brott mot specialstraffrättsliga författningar,
bra_11087,"Brott mot brottsbalken, 8-12 kap. Brott mot förmögenhet",bra_11084
bra_11088,"Brott mot brottsbalken, 13-15 kap. Brott mot allmänheten",bra_11084
bra_11089,"Brott mot brottsbalken, 16-22 kap. Brott mot staten",bra_11084
bra_11086,"Brott mot brottsbalken, 3-7 kap. Brott mot person",bra_11084
bra_13039,"Brott mot specialstraffrättsliga författningar, Tobakslagen",bra_11085
bra_13065,"Brott mot specialstraffrättsliga författningar, Lag om förbud mot köp av sexuell tjänst (t.o.m. 2005-03)",bra_11085
bra_13067,"Brott mot specialstraffrättsliga författningar, Lag om försäljning av teknisk sprit m.m. (t.o.m. 2010-12)",bra_11085
bra_13092,"Brott mot specialstraffrättsliga författningar, Lag om straff för penningtvättsbrott",bra_11085
bra_13097,"Brott mot specialstraffrättsliga författningar, Lag med förbud mot könsstympning av kvinnor",bra_11085
bra_13101,"Brott mot specialstraffrättsliga författningar, Lagen om straff för folkmord (t.o.m. 2014-12)",bra_11085
bra_13104,"Brott mot specialstraffrättsliga författningar, Brott mot miljöskyddslagen eller naturvårdslagen (t.o.m. 1998-12)",bra_11085
bra_13105,"Brott mot specialstraffrättsliga författningar, Brott mot skattebrottslagen (2-10 §)",bra_11085
bra_13113,"Brott mot specialstraffrättsliga författningar, Lagen om näringsförbud, överträdelse (47 §)",bra_11085
bra_13115,"Brott mot specialstraffrättsliga författningar, Aktiebolagslagen (30 kap.)",bra_11085
bra_13120,"Brott mot specialstraffrättsliga författningar, Lag om straff för marknadsmissbruk (t.o.m. 2017)",bra_11085
bra_13175,"Brott mot specialstraffrättsliga författningar, Lag om straff för terroristbrott (2 §)",bra_11085
bra_13176,"Brott mot specialstraffrättsliga författningar, Lag om straff för offentlig uppmaning, rekrytering och utbildning avseende terroristbrott och annan särskild allvarlig brottslighet (5 §)",bra_11085
