id,label,parent
Gymnasieförbundet Bromölla Sölvesborg,Gymnasieförbundet Bromölla/Sölvesborg,Blekinge län
Hälsinglands Utbildningsförbund,Hälsinglands Utbildningsförbund,Gävleborgs län
Jämtlands Gymnasieförbund,Jämtlands Gymnasieförbund,Jämtlands län
Kalmarsunds Gymnasieförbund,Kalmarsunds Gymnasieförbund,Kalmar län
Kommunsamverkan Cura Individutveckling,Kommunsamverkan Cura Individutveckling,Blekinge län
Kunskapsförbundet Väst,Kunskapsförbundet Väst,Västra Götalands län
Lapplands Kommunalförbund,Lapplands Kommunalförbund,Norrbottens län
Norra Västmanlands Utbildningsförbund,Norra Västmanlands Utbildningsförbund,Västmanlands län
Sydnärkes Utbildningsförbund,Sydnärkes Utbildningsförbund,Örebro län
Sydskånska Gymnasieförbundet,Sydskånska Gymnasieförbundet,Skåne län
Sölvesborgs-Bromöllas Kommunalförbund,Sölvesborgs-Bromöllas Kommunalförbund,Blekinge län
Västerbergslagens Utbildningsförbund Vbu,"Västerbergslagens Utbildningsförbund (Vbu)",Dalarnas län
Västerdalarnas utbildningsförbund,Västerdalarnas utbildningsförbund,Dalarnas län
Vårdförbundet Blekinge,Vårdförbundet Blekinge,Blekinge län
