id,label,parent
SE2321000081-b3231,Brunnsgårdens vårdcentral,Karlshamns kommun
SE2321000081-b402,Karlshamn jourcentral,Karlshamns kommun
SE5564752912-b3226,Läkarhuset i Karlshamn,Karlshamns kommun
SE2321000081-b3232,Samariten vårdcentral,Karlshamns kommun
SE5567915771-b3218,Hälsohuset för alla,Karlskrona kommun
SE2321000081-b3226,Jämjö vårdcentral,Karlskrona kommun
SE2321000081-b307,Karlskrona Jourcentral,Karlskrona kommun
SE5567819080-b3217,Kungsmarkens vårdcentral,Karlskrona kommun
SE2321000081-b3223,Lyckeby vårdcentral,Karlskrona kommun
SE2321000081-b3224,Nättraby vårdcentral,Karlskrona kommun
SE2321000081-b3225,Rödeby vårdcentral,Karlskrona kommun
SE2321000081-b3222,Trossö vårdcentral,Karlskrona kommun
SE5567819080-b3216,Tvings läkarmottagning,Karlskrona kommun
SE2321000081-b3227,Wämö vårdcentral,Karlskrona kommun
SE2321000081-b3233,Olofströms vårdcentral,Olofströms kommun
SE5567014013-b3214,Olofströmskliniken,Olofströms kommun
SE5564220860-b3229,Capio Citykliniken Ronneby,Ronneby kommun
SE2321000081-b3229,Kallinge vårdcentral,Ronneby kommun
SE2321000081-b3230,Ronneby vårdcentral,Ronneby kommun
SE2321000081-b3234,Sölvesborgs vårdcentral,Sölvesborgs kommun
SE8362008628-b3212,Valjehälsan,Sölvesborgs kommun
SE2321000180-4GZ8,Vårdcentral Avesta Hälsan,Avesta kommun
SE2321000180-4GVF,Vårdcentral Koppardalen,Avesta kommun
SE2321000180-46LD,Vårdcentralen Avesta,Avesta kommun
SE2321000180-4BF3,Vårdcentral Läkarhuset,Borlänge kommun
SE2321000180-46V4,Vårdcentralen Domnarvet,Borlänge kommun
SE2321000180-46V0,Vårdcentralen Jakobsgårdarna,Borlänge kommun
SE2321000180-46MC,Vårdcentralen Kvarnsveden,Borlänge kommun
SE2321000180-4BF4,Falu Vårdcentral,Falu kommun
