"id","municipality","original_id","road_name","road_number","road_type","station"
"Rv 55 Enköping-Litslena","Enköpings kommun","Rv 55 Enköping-Litslena","Riksväg 55","55","national_road",
"E6 Pålen - Tanumshede","Tanums kommun","E6 Pålen - Tanumshede","Länsväg 920","920","county_road",
"Lv 160 Henån - Rotviksbro","Orusts kommun","Lv 160 Henån - Rotviksbro","Länsväg 160","160","county_road",
"Rv 19 Brösarp-Degeberga","Kristianstads kommun","Rv 19 Brösarp-Degeberga","Riksväg 19","19","national_road",
"E10 Morjärv - Gyljen","Kalix kommun","E10 Morjärv - Gyljen","E10","E10","street",
"E4 Haparanda-Salmis","Haparanda kommun","E4 Haparanda-Salmis","E4","E4","street",
"Rv 17 Landskrona-Marieholm","Svalövs kommun","Rv 17 Landskrona-Marieholm","Riksväg 17","17","national_road",
"Rv 21 Klippan-Hyllstofta","Klippans kommun","Rv 21 Klippan-Hyllstofta","Riksväg 21","21","national_road",
"Rv 24 Finja-Örkelljunga","Hässleholms kommun","Rv 24 Finja-Örkelljunga","Riksväg 24","24","national_road",
"Lv 117 Vankiva-Emmaljunga","Hässleholms kommun","Lv 117 Vankiva-Emmaljunga","Länsväg 117","117","county_road",
"Rv 34 Ervasteby - St Sjögestad","Linköpings kommun","Rv 34 Ervasteby - St Sjögestad","Riksväg 34","34","national_road",
"Lv 169 Myggenäs - Vallhamn","Tjörns kommun","Lv 169 Myggenäs - Vallhamn","Länsväg 169","169","county_road",
"Rv 50 Bollnäs Alfta","Bollnäs kommun","Rv 50 Bollnäs Alfta","Riksväg 50","50","national_road",
"Lv 168 Vävra - Tjuvkil","Kungälvs kommun","Lv 168 Vävra - Tjuvkil","Länsväg 168","168","county_road",
"Lv 268_978 Karby-Brottby","Vallentuna kommun","Lv 268/978 Karby-Brottby","Länsväg 268","268","county_road",
"Lv 227 Trafikplats Jordbro - Dalarö","Haninge kommun","Lv 227 Trafikplats Jordbro - Dalarö","Länsväg 227","227","county_road",
"E4 Nikkala-Salmis","Haparanda kommun","E4 Nikkala-Salmis","E4","E4","street",
"Lv 118 Hammar - Bjärlöv","Kristianstads kommun","Lv 118 Hammar - Bjärlöv","Länsväg 118","118","county_road",
"Rv 49 Skövde - Tibro","Tibro kommun","Rv 49 Skövde - Tibro","Riksväg 49","49","national_road",
"Rv 87 Långsele-Österforse","Sollefteå kommun","Rv 87 Långsele-Österforse","Riksväg 87","87","national_road",
"Rv 23  Braås - Åseda","Uppvidinge kommun","Rv 23  Braås - Åseda","Riksväg 23","23","national_road",
"Rv 56 Heby-Tärnsjö","Heby kommun","Rv 56 Heby-Tärnsjö","Riksväg 56","56","national_road",
"Rv 31 Vetlanda - Björkeryd","Vetlanda kommun","Rv 31 Vetlanda - Björkeryd","Riksväg 31","31","national_road",
"Lv 102 Dalby-Lund","Lunds kommun","Lv 102 Dalby-Lund","Länsväg 102","102","county_road",
"Lv 940 Forsbäck-E6","Kungsbacka kommun","Lv 940 Forsbäck-E6","Länsväg 940","940","county_road",
"Lv 194 Värsås-Källebo","Hjo kommun","Lv 194 Värsås-Källebo","Länsväg 194","194","county_road",
"Lv 200 Skövde(Fjället)-Tidan","Skövde kommun","Lv 200 Skövde(Fjället)-Tidan","Länsväg 200","200","county_road",
"E10 Svartbyn-Överkalix","Överkalix kommun","E10 Svartbyn-Överkalix","E10","E10","street",
"Rv 26 Gislaved-Hestra","Gislaveds kommun","Rv 26 Gislaved-Hestra","Riksväg 26","26","national_road",
"Rv41 Horred -Sundholmen","Marks kommun","Rv41 Horred -Sundholmen","Riksväg 41","41","national_road",
"Rv 77 Knivsta - Husby Långhundra","Knivsta kommun","Rv 77 Knivsta - Husby Långhundra","Riksväg 77","77","national_road",
"Lv 132 Huskvarna-Lekeryd","Jönköpings kommun","Lv 132 Huskvarna-Lekeryd","Länsväg 132","132","county_road",
"Lv 291 Rv76 Älvkarleby-Skutskär","Älvkarleby kommun","Lv 291 Rv76 Älvkarleby-Skutskär","Länsväg 291","291","county_road",
"RV 25 Hovmantorp-Lessebo","Lessebo kommun","RV 25 Hovmantorp-Lessebo","Riksväg 25","25","national_road",
"E14 Matfors - Kälsta","Sundsvalls kommun","E14 Matfors - Kälsta","E14","E14","street",
"21018","Gävle kommun","21018","Riksväg 56","56","national_road","21018"
"21020","Gävle kommun","21020","Länsväg 509","509","county_road","21020"
"21021","Hudiksvalls kommun","21021","Riksväg 84","84","national_road","21021"
"12038","Bjuvs kommun","12038","Länsväg 109","109","county_road","12038"
"02501","Huddinge kommun","02501","Häradsvägen","Häradsvägen","street","02501"
"12031","Eslövs kommun","12031","Riksväg 17","17","national_road","12031"
"12032","Kävlinge kommun","12032","Länsväg 104","104","county_road","12032"
"12037","Bjuvs kommun","12037","Länsväg 110","110","county_road","12037"
"25021","Kalix kommun","25021","E10","E10","street","25021"
"25022","Övertorneå kommun","25022","Riksväg 99","99","national_road","25022"
"25023","Gällivare kommun","25023","E10","E10","street","25023"
"20022","Ludvika kommun","20022","Riksväg 66","66","national_road","20022"
"21024","Hudiksvalls kommun","21024","E4","E4","street","21024"
"22017","Sundsvalls kommun","22017","E14","E14","street","22017"
"22018","Härnösands kommun","22018","E4","E4","street","22018"
"14074","Sotenäs kommun","14074","Länsväg 174","174","county_road","14074"
"14075","Sotenäs kommun","14075","Länsväg 1186","1186","county_road","14075"
"14069","Lysekils kommun","14069","Länsväg 162","162","county_road","14069"
"06016","Sävsjö kommun","06016","Riksväg 30","30","national_road","06016"
"E22 Hossmo-Rinkabyholm","Kalmar kommun","E22 Hossmo-Rinkabyholm","Riksvägen","Riksvägen","street",
"E22 Bröms-Påboda","Torsås kommun","E22 Bröms-Påboda","E22","E22","street",
"Rv 23 Stora Hammaren - Lövhult","Växjö kommun","Rv 23 Stora Hammaren - Lövhult","Riksväg 23","23","national_road",
"Lv 158 Särö-Kungsbacka","Kungsbacka kommun","Lv 158 Särö-Kungsbacka","Länsväg 158","158","county_road",
"Rv50 Vadstena-Omberg","Vadstena kommun","Rv50 Vadstena-Omberg","Länsväg 919","919","county_road",
"Rv55_56 E-länsgräns-Katrineholm","Katrineholms kommun","Rv55/56 E-länsgräns-Katrineholm","Riksväg 55","55","national_road",
"Lv 512 Plats Röbäck (Röbäck-centrum)","Umeå kommun","Lv 512 Plats Röbäck (Röbäck-centrum)","Riksvägen","Riksvägen","street",
"Rv 26_47 Månseryd - Slättäng","Jönköpings kommun","Rv 26/47 Månseryd - Slättäng","Riksväg 26","26","national_road",
"Rv 27 Bor - Bredasten","Värnamo kommun","Rv 27 Bor - Bredasten","Riksväg 27","27","national_road",
