id,label,municipality,parent,school_level
28085125,4ans Gymnasium,Malmö kommun,Malmö kommun,secondary_school
97535124,ABB Industrigymnasium Ludvika,Ludvika kommun,Ludvika kommun,secondary_school
51981332,ABB Industrigymnasium Sala,Sala kommun,Sala kommun,secondary_school
66028861,ABB Industrigymnasium Västerås,Västerås kommun,Västerås kommun,secondary_school
33572033,AMB Education,Tingsryds kommun,Tingsryds kommun,secondary_school
96574602,AWPE-gymnasiet,Ånge kommun,Ånge kommun,secondary_school
28770304,Agnesfrids gymnasium,Malmö kommun,Malmö kommun,secondary_school
33169989,Agnesfridsgymnasiet Ro 1,Malmö kommun,Malmö kommun,secondary_school
76295948,Agnesfridsgymnasiet Ro 2,Malmö kommun,Malmö kommun,secondary_school
59483268,Akademi Båstad Gymnasium,Båstads kommun,Båstads kommun,secondary_school
37912396,Aleholm,Sävsjö kommun,Sävsjö kommun,secondary_school
17474377,Alingsås Yrkesgymnasium,Alingsås kommun,Alingsås kommun,secondary_school
94660328,Allhamra Gymnasieskola,Kinda kommun,Kinda kommun,secondary_school
47108212,Allvar Gullstrandgymnasiet,Landskrona kommun,Landskrona kommun,secondary_school
70969714,Alléskolan 1,Hallsbergs kommun,Hallsbergs kommun,secondary_school
85003442,Alléskolan 2,Hallsbergs kommun,Hallsbergs kommun,secondary_school
22752398,Alléskolan 3,Hallsbergs kommun,Hallsbergs kommun,secondary_school
68734112,Alléskolan 4,Hallsbergs kommun,Hallsbergs kommun,secondary_school
71922787,Alléskolan 5,Hallsbergs kommun,Hallsbergs kommun,secondary_school
31843016,Alléskolan 6,Hallsbergs kommun,Hallsbergs kommun,secondary_school
71763475,Alléskolan 6,Hallsbergs kommun,Hallsbergs kommun,secondary_school
74148070,Alléskolan 7,Hallsbergs kommun,Hallsbergs kommun,secondary_school
24357034,Alléskolan 8,Hallsbergs kommun,Hallsbergs kommun,secondary_school
68920727,AlmaAkademin,Karlstads kommun,Karlstads kommun,secondary_school
18425335,Almåsgymnasiet A,Borås kommun,Borås kommun,secondary_school
93281974,Almåsgymnasiet B,Borås kommun,Borås kommun,secondary_school
23424275,Almåsgymnasiet C,Borås kommun,Borås kommun,secondary_school
18281003,Alpha International College,Västerviks kommun,Västerviks kommun,secondary_school
74776778,Alströmergymnasiet sektor 1,Alingsås kommun,Alingsås kommun,secondary_school
18345915,Alströmergymnasiet sektor 2,Alingsås kommun,Alingsås kommun,secondary_school
68229719,Alströmergymnasiet sektor 3,Alingsås kommun,Alingsås kommun,secondary_school
61004230,Alströmergymnasiet sektor 4,Alingsås kommun,Alingsås kommun,secondary_school
67768292,Alströmergymnasiet sektor 5,Alingsås kommun,Alingsås kommun,secondary_school
36072799,Anders Ljungstedts gymnasium 3,Linköpings kommun,Linköpings kommun,secondary_school
18282722,Anders Ljungstedts gymnasium 3,Linköpings kommun,Linköpings kommun,secondary_school
61432781,Anders Ljungstedts gymnasium 4,Linköpings kommun,Linköpings kommun,secondary_school
78287294,Anders Ljungstedts gymnasium 7,Linköpings kommun,Linköpings kommun,secondary_school
74316305,Anders Ljungstedts gymnasium 8,Linköpings kommun,Linköpings kommun,secondary_school
39096170,Anders Ljungstedts gymnasium 9,Linköpings kommun,Linköpings kommun,secondary_school
78690637,Anderstorpsgymnasiet,Skellefteå kommun,Skellefteå kommun,secondary_school
72998905,Angeredsgymnasiet 1,Göteborgs kommun,Göteborgs kommun,secondary_school
84835666,Angeredsgymnasiet 2,Göteborgs kommun,Göteborgs kommun,secondary_school
24685151,Angeredsgymnasiet 3,Göteborgs kommun,Göteborgs kommun,secondary_school
25872338,Angeredsgymnasiet 4,Göteborgs kommun,Göteborgs kommun,secondary_school
54164490,Angeredsgymnasiet 5,Göteborgs kommun,Göteborgs kommun,secondary_school
69481650,Aniaragymnasiet,Göteborgs kommun,Göteborgs kommun,secondary_school
74560191,Ansgargymnasiet,Uppsala kommun,Uppsala kommun,secondary_school
33685428,Apelrydsskolan,Båstads kommun,Båstads kommun,secondary_school
32879845,Apelrydsskolan i Båstad,Båstads kommun,Båstads kommun,secondary_school
76860623,Aranäsgymnasiet Enhet 1,Kungsbacka kommun,Kungsbacka kommun,secondary_school
58191646,Aranäsgymnasiet Enhet 2,Kungsbacka kommun,Kungsbacka kommun,secondary_school
80405898,Aranäsgymnasiet Enhet 3,Kungsbacka kommun,Kungsbacka kommun,secondary_school
56021320,Aranäsgymnasiet Enhet 4,Kungsbacka kommun,Kungsbacka kommun,secondary_school
41358402,Aranäsgymnasiet Enhet 5,Kungsbacka kommun,Kungsbacka kommun,secondary_school
83272868,Arlandagymnasiet 1,Sigtuna kommun,Sigtuna kommun,secondary_school
