id,label
SNI2007_00,samtliga näringar
SNI2007_01,jordbruksföretag och serviceföretag till jordbruk
SNI2007_02,skogsbruksföretag
SNI2007_03,fiskare och vattenbrukare 
SNI2007_05_09,gruvor och mineralutvinningsindustri
SNI2007_10_12,"livsmedels-, dryckesvaru- och tobaksindustri"
SNI2007_13_15,"textil-, beklädnads-, läder - och lädervaruindustri"
SNI2007_16,"industri för trä och varor av trä, kork och rotting o.d. utom möbler"
SNI2007_17,"massa-, pappers- och pappersvaruindustri"
SNI2007_18,grafisk och annan reproduktionsindustri
SNI2007_19_21,"kemisk industri, petroleumprodukter och läkemedelsindustri"
SNI2007_22,gummi- och plastvaruindustri
SNI2007_23,industri för andra icke-metalliska mineraliska produkter
SNI2007_24,stål- och metallverk
SNI2007_25,industri för metallvaror utom maskiner och apparater
SNI2007_26_27,"industri för datorer, elektronikvaror, optik och elapparatur"
SNI2007_28,övrig maskinindustri
SNI2007_29_30,transportmedelsindustri
SNI2007_31_33,"övrig tillverkningsindustri, reparationsverkstäder och installationsföretag"
SNI2007_35_39,"el-, gas- och värmeverk; vatten- och reningsverk; anläggningar för avfallshantering, återvinning och"
SNI2007_41_43,byggindustri
SNI2007_45,handel med och serviceverkstäder för motorfordon och motorcyklar
SNI2007_46,parti - och provisionshandel utom med motorfordon
SNI2007_47,detaljhandel utom med motorfordon och motorcyklar
SNI2007_49_53,transport- och magasineringsföretag
SNI2007_55_56,hotell och restauranger
SNI2007_58_63,informations- och kommunikationsföretag
SNI2007_64_66,kreditinstitut och försäkringsbolag m.m.
SNI2007_68,fastighetsbolag och fastighetsförvaltare
SNI2007_69_75,"företag inom juridik, ekonomi, vetenskap och teknik"
SNI2007_77_78,"uthyrningsfirmor, arbetsförmedlingar, rekryteringsföretag, personaluthyrningsföretag o.d."
SNI2007_79,resebyråer och researrangörer; turistbyråer
SNI2007_80_82,"bevaknings-, fastighetsservice och kontorstjänstföretag m.m."
SNI2007_85,utbildningsväsendet
SNI2007_86_88,"enheter för vård och omsorg, socialtjänst"
SNI2007_90_93,enheter för kultur nöje och fritid
SNI2007_94_99+84,"andra serviceföretag och företag för personliga tjänster, civila myndigheter och försvaret"
SNI2007_US,uppgift saknas
SNI2007_01110,"odling av spannmål (utom ris), baljväxter och oljeväxter"
SNI2007_01120,odling av ris
SNI2007_01131,potatisodling
SNI2007_01132,sockerbetsodling
SNI2007_01133,odling av grönsaker (köksväxter) på friland
SNI2007_01134,odling av grönsaker (köksväxter) i växthus
SNI2007_01135,svampodling m.m.
SNI2007_01140,odling av sockerrör
SNI2007_01150,odling av tobak
SNI2007_01160,odling av fiberväxter
SNI2007_01191,odling av prydnadsväxter i växthus
SNI2007_01199,odling av övriga ett- och tvååriga växter
SNI2007_01210,odling av druvor
SNI2007_01220,odling av tropiska och subtropiska frukter
SNI2007_01230,odling av citrusfrukter
SNI2007_01240,odling av kärnfrukter och stenfrukter
SNI2007_01250,odling av andra frukter och bär samt nötter
SNI2007_01260,odling av oljehaltiga frukter
SNI2007_01270,odling av växter för dryckesframställning
SNI2007_01280,"odling av kryddväxter, drog- och medicinalväxter"
SNI2007_01290,odling av andra fleråriga växter
SNI2007_01301,odling av plantskoleväxter i växthus
SNI2007_01302,odling av plantskoleväxter m.m. på friland
SNI2007_01410,mjölkproduktion och uppfödning av nötkreatur av mjölkras
SNI2007_01420,uppfödning av andra nötkreatur och bufflar
SNI2007_01430,uppfödning av hästar och andra hästdjur
SNI2007_01440,uppfödning av kameler och kameldjur
SNI2007_01450,uppfödning av får och getter
SNI2007_01461,uppfödning av smågrisar
SNI2007_01462,uppfödning av slaktsvin
SNI2007_01471,äggproduktion (för försäljning)
SNI2007_01472,"uppfödning av fjäderfä, ej äggproduktion"
SNI2007_01491,renskötsel
SNI2007_01492,uppfödning av sällskapsdjur
SNI2007_01499,övrig uppfödning av andra djur
SNI2007_01500,blandat jordbruk
SNI2007_01610,service till växtodling
SNI2007_01620,service till husdjursskötsel
SNI2007_01630,bearbetning av skördade växter
SNI2007_01640,bearbetning av utsäde
SNI2007_01700,jakt och service i anslutning härtill
SNI2007_02101,skogsförvaltning
SNI2007_02102,skogsskötsel
SNI2007_02109,övrig skoglig verksamhet
SNI2007_02200,drivning
SNI2007_02300,insamling av annat vilt växande skogsmaterial än trä
SNI2007_02401,virkesmätning
SNI2007_02409,övrig service till skogsbruk
SNI2007_03111,trålfiske i saltvatten
SNI2007_03119,övrigt saltvattensfiske
SNI2007_03120,sötvattensfiske
SNI2007_03210,fiskodling i saltvatten
SNI2007_03220,fiskodling i sötvatten
SNI2007_05100,stenkolsutvinning
SNI2007_05200,brunkolsutvinning
SNI2007_06100,utvinning av råpetroleum
SNI2007_06200,utvinning av naturgas
SNI2007_07100,järnmalmsutvinning
SNI2007_07210,utvinning av uran- och toriummalm
SNI2007_07290,utvinning av annan malm
SNI2007_08110,"brytning av natursten, kalk- och gipssten, krita och skiffer"
SNI2007_08120,"utvinning av sand, grus och berg; utvinning av lera och kaolin"
SNI2007_08910,brytning av kemiska mineral
SNI2007_08920,torvutvinning
SNI2007_08930,saltutvinning
