id,label,smhi_id,municipality,parent,neighbours
smhi_102170,Östmark-Åsarna,102170,Torsby kommun,Värmlands län,"smhi_102460,smhi_102440,smhi_102540,smhi_103260,smhi_102400"
smhi_102400,Kindsjön D,102400,Torsby kommun,Värmlands län,"smhi_102460,smhi_102440,smhi_102540,smhi_103260,smhi_102170"
smhi_102440,Letafors D,102440,Torsby kommun,Värmlands län,"smhi_102460,smhi_102540,smhi_102170,smhi_103260,smhi_102400"
smhi_102460,Tåsan,102460,Torsby kommun,Värmlands län,"smhi_102440,smhi_102540,smhi_102170,smhi_103260,smhi_102400"
smhi_102540,Höljes,102540,Torsby kommun,Värmlands län,"smhi_102460,smhi_102440,smhi_102170,smhi_103260,smhi_102400"
smhi_103090,Gustavsfors,103090,Hagfors kommun,Värmlands län,smhi_103100
smhi_103100,Gustavsfors A,103100,Hagfors kommun,Värmlands län,smhi_103090
smhi_103260,Stöllet D,103260,Torsby kommun,Värmlands län,"smhi_102460,smhi_102440,smhi_102540,smhi_102170,smhi_102400"
smhi_103420,Malung A,103420,Malung-Sälens kommun,Dalarnas län,"smhi_112020,smhi_103490"
smhi_103490,Öje D,103490,Malung-Sälens kommun,Dalarnas län,"smhi_112020,smhi_103420"
smhi_104090,Fredriksberg,104090,Ludvika kommun,Dalarnas län,"smhi_104180,smhi_105100"
smhi_104150,Sågen D,104150,Vansbro kommun,Dalarnas län,smhi_104320
smhi_104180,Nyhammar,104180,Ludvika kommun,Dalarnas län,"smhi_105100,smhi_104090"
smhi_104320,Dala-Järna D,104320,Vansbro kommun,Dalarnas län,smhi_104150
smhi_104540,Gesunda D,104540,Mora kommun,Dalarnas län,"smhi_104580,smhi_114080"
smhi_104580,Mora A,104580,Mora kommun,Dalarnas län,"smhi_104540,smhi_114080"
smhi_105040,Söderbärke D,105040,Smedjebackens kommun,Dalarnas län,
smhi_105060,Norberg,105060,Norbergs kommun,Västmanlands län,
smhi_105100,Ludvika,105100,Ludvika kommun,Dalarnas län,"smhi_104180,smhi_104090"
smhi_105220,Stora Spånsberget A,105220,Borlänge kommun,Dalarnas län,"smhi_105260,smhi_105310"
smhi_105250,Stora Skedvi,105250,Säters kommun,Dalarnas län,
smhi_105260,Borlänge Flygplats,105260,Borlänge kommun,Dalarnas län,"smhi_105220,smhi_105310"
smhi_105310,Borlänge D,105310,Borlänge kommun,Dalarnas län,"smhi_105220,smhi_105260"
smhi_105370,Falun-Lugnet,105370,Falu kommun,Dalarnas län,"smhi_105500,smhi_105470,smhi_105390"
smhi_105390,Hillersboda,105390,Falu kommun,Dalarnas län,"smhi_105500,smhi_105370,smhi_105470"
smhi_105450,Leksand,105450,Leksands kommun,Dalarnas län,
smhi_105470,Bjursås,105470,Falu kommun,Dalarnas län,"smhi_105500,smhi_105370,smhi_105390"
smhi_105500,Tänger D,105500,Falu kommun,Dalarnas län,"smhi_105370,smhi_105470,smhi_105390"
smhi_106040,Brovallen,106040,Avesta kommun,Dalarnas län,smhi_106070
smhi_106070,Avesta,106070,Avesta kommun,Dalarnas län,smhi_106040
smhi_106160,Kerstinbo A,106160,Heby kommun,Uppsala län,"smhi_107100,smhi_97540"
smhi_106180,Österfärnebo,106180,Sandvikens kommun,Gävleborgs län,"smhi_106460,smhi_106360"
smhi_106280,Långshyttan D,106280,Hedemora kommun,Dalarnas län,
smhi_106290,Torsåker D,106290,Hofors kommun,Gävleborgs län,smhi_106330
smhi_106330,Hofors,106330,Hofors kommun,Gävleborgs län,smhi_106290
smhi_106360,Gästrike-Hammarby D,106360,Sandvikens kommun,Gävleborgs län,"smhi_106460,smhi_106180"
smhi_106460,Kungsberget D,106460,Sandvikens kommun,Gävleborgs län,"smhi_106180,smhi_106360"
smhi_106540,Ockelbo,106540,Ockelbo kommun,Gävleborgs län,smhi_106570
smhi_106570,Åmot A,106570,Ockelbo kommun,Gävleborgs län,smhi_106540
smhi_107010,Vattholma D,107010,Uppsala kommun före 2003,Uppsala län,"smhi_98570,smhi_107040,smhi_97520,smhi_97530,smhi_97510,smhi_98560"
smhi_107040,Björklinge D,107040,Uppsala kommun före 2003,Uppsala län,"smhi_98570,smhi_97520,smhi_97530,smhi_97510,smhi_107010,smhi_98560"
smhi_107100,Östervåla D,107100,Heby kommun,Uppsala län,"smhi_106160,smhi_97540"
smhi_107140,Film A,107140,Östhammars kommun,Uppsala län,"smhi_108180,smhi_108320,smhi_108110"
smhi_107230,Hedesunda,107230,Gävle kommun,Gävleborgs län,"smhi_107430,smhi_107440,smhi_107560,smhi_107420"
smhi_107250,Lövsta,107250,Tierps kommun,Uppsala län,
smhi_107340,Älvkarleby D,107340,Älvkarleby kommun,Uppsala län,
smhi_107420,Gävle A,107420,Gävle kommun,Gävleborgs län,"smhi_107430,smhi_107440,smhi_107230,smhi_107560"
smhi_107430,Gävle-Åbyggeby,107430,Gävle kommun,Gävleborgs län,"smhi_107440,smhi_107230,smhi_107420,smhi_107560"
smhi_107440,Eggegrund A,107440,Gävle kommun,Gävleborgs län,"smhi_107430,smhi_107230,smhi_107420,smhi_107560"
smhi_107560,Norrsundet,107560,Gävle kommun,Gävleborgs län,"smhi_107430,smhi_107440,smhi_107230,smhi_107420"
smhi_108040,Norrby S,108040,Norrtälje kommun,Stockholms län,"smhi_98490,smhi_99270,smhi_99280,smhi_98500,smhi_99450"
smhi_108110,Risinge,108110,Östhammars kommun,Uppsala län,"smhi_108180,smhi_107140,smhi_108320"
smhi_108180,Söderby-Karlsäng D,108180,Östhammars kommun,Uppsala län,"smhi_107140,smhi_108320,smhi_108110"
smhi_108320,Örskär A,108320,Östhammars kommun,Uppsala län,"smhi_108180,smhi_107140,smhi_108110"
smhi_112020,Löten D,112020,Malung-Sälens kommun,Dalarnas län,"smhi_103490,smhi_103420"
smhi_112230,Storbron,112230,Älvdalens kommun,Dalarnas län,"smhi_112520,smhi_113420,smhi_113230,smhi_113260,smhi_112360,smhi_113410,smhi_123020,smhi_113050,smhi_112540,smhi_114140"
smhi_112360,Gördalen D,112360,Älvdalens kommun,Dalarnas län,"smhi_112520,smhi_113420,smhi_113230,smhi_113260,smhi_113410,smhi_123020,smhi_112230,smhi_113050,smhi_112540,smhi_114140"
smhi_112520,Idre D,112520,Älvdalens kommun,Dalarnas län,"smhi_113420,smhi_113230,smhi_113260,smhi_112360,smhi_113410,smhi_123020,smhi_112230,smhi_113050,smhi_112540,smhi_114140"
smhi_112540,Idre Fjäll A,112540,Älvdalens kommun,Dalarnas län,"smhi_112520,smhi_113420,smhi_113230,smhi_113260,smhi_112360,smhi_113410,smhi_123020,smhi_112230,smhi_113050,smhi_114140"
smhi_113050,Mångsbodarna,113050,Älvdalens kommun,Dalarnas län,"smhi_112520,smhi_113420,smhi_113230,smhi_113260,smhi_112360,smhi_113410,smhi_123020,smhi_112230,smhi_112540,smhi_114140"
smhi_113230,Trängslet,113230,Älvdalens kommun,Dalarnas län,"smhi_112520,smhi_113420,smhi_113260,smhi_112360,smhi_113410,smhi_123020,smhi_112230,smhi_113050,smhi_112540,smhi_114140"
smhi_113260,Nornäs D,113260,Älvdalens kommun,Dalarnas län,"smhi_112520,smhi_113420,smhi_113230,smhi_112360,smhi_113410,smhi_123020,smhi_112230,smhi_113050,smhi_112540,smhi_114140"
smhi_113410,Särna D,113410,Älvdalens kommun,Dalarnas län,"smhi_112520,smhi_113420,smhi_113230,smhi_113260,smhi_112360,smhi_123020,smhi_112230,smhi_113050,smhi_112540,smhi_114140"
smhi_113420,Särna A,113420,Älvdalens kommun,Dalarnas län,"smhi_112520,smhi_113230,smhi_113260,smhi_112360,smhi_113410,smhi_123020,smhi_112230,smhi_113050,smhi_112540,smhi_114140"
smhi_114070,Orsa D,114070,Orsa kommun,Dalarnas län,smhi_114120
smhi_114080,Våmhus D,114080,Mora kommun,Dalarnas län,"smhi_104580,smhi_104540"
smhi_114120,Skattungbyn D,114120,Orsa kommun,Dalarnas län,smhi_114070
smhi_114140,Älvdalen A,114140,Älvdalens kommun,Dalarnas län,"smhi_112520,smhi_113420,smhi_113230,smhi_113260,smhi_112360,smhi_113410,smhi_123020,smhi_112230,smhi_113050,smhi_112540"
smhi_114390,Lillhamra D,114390,Ljusdals kommun,Gävleborgs län,"smhi_114480,smhi_116430,smhi_115500,smhi_115450,smhi_126120,smhi_125030,smhi_114410"
smhi_114410,Hamra A,114410,Ljusdals kommun,Gävleborgs län,"smhi_114480,smhi_116430,smhi_115500,smhi_115450,smhi_126120,smhi_125030,smhi_114390"
smhi_114480,Fågelsjö D,114480,Ljusdals kommun,Gävleborgs län,"smhi_116430,smhi_115500,smhi_115450,smhi_126120,smhi_125030,smhi_114390,smhi_114410"
smhi_115030,Finnbacka D,115030,Rättviks kommun,Dalarnas län,smhi_115100
smhi_115100,Östanvik,115100,Rättviks kommun,Dalarnas län,smhi_115030
smhi_115220,Edsbyn A,115220,Ovanåkers kommun,Gävleborgs län,smhi_115320
smhi_115320,Lobonäs D,115320,Ovanåkers kommun,Gävleborgs län,smhi_115220
