id,label,label__sv,label__en
passenger cars,personbilar,personbilar,passenger cars
light lorries,lätt lastbil,lätt lastbil,light lorries
heavy lorries,tung lastbil,tung lastbil,heavy lorries
towing vehicles,dragfordon,dragfordon,towing vehicles
buses,buss,buss,buses
motorcycles,motorcykel,motorcykel,motorcycles
mopeds class 1,moped klass 1,moped klass 1,mopeds class 1
tractors,traktor,traktor,tractors
snowmobiles,snöskoter,snöskoter,snowmobiles
all-terrain vehicles,terränghjuling,terränghjuling,all-terrain vehicles
cross-country scooters,terrängskoter,terrängskoter,cross-country scooters
trailers,släpvagn,släpvagn,trailers
