"id","description"
"Jan-Dec","January 1 – December 31 inclusive, in local timezone."
"Feb-Jan","February 1 – January 31 inclusive, in local timezone."
"Mar-Feb","March 1 – February 28/29 inclusive, in local timezone."
"Apr-Mar","April 1 – March 31 inclusive, in local timezone."
"May-Apr","May 1 – April 30 inclusive, in local timezone."
"Jun-May","June 1 – May 31 inclusive, in local timezone."
"Jul-Jun","July 1 – June 30 inclusive, in local timezone."
"Aug-Jul","August 1 – July 31 inclusive, in local timezone."
"Sep-Aug","September 1 – August 31 inclusive, in local timezone."
"Oct-Sep","October 1 – September 30 inclusive, in local timezone."
"Nov-Oct","November 1 – October 31 inclusive, in local timezone."
"Dec-Nov","December 1 – November 30 inclusive, in local timezone."
