id,parent,wikidata,type,start,end,brå,brå_id
Stadsdelsnämndsområdet Angered,Göteborgs kommun,,stadsdelsnämndsområde,2011-01-01,9,Angered stadsdel,8629
Stadsdelsnämndsområdet Askim-Frölunda-Högsbo,Göteborgs kommun,,stadsdelsnämndsområde,2011-01-01,9,Askim-Frölunda-Högsbo stadsdel,8630
Stadsdelsnämndsområdet Centrum,Göteborgs kommun,,stadsdelsnämndsområde,1989-01-01,9,Centrum stadsdel,8631
Stadsdelsnämndsområdet Lundby,Göteborgs kommun,,stadsdelsnämndsområde,1989-01-01,9,Lundby stadsdel,8632
Stadsdelsnämndsområdet Majorna-Linné,Göteborgs kommun,,stadsdelsnämndsområde,2011-01-01,9,Majorna-Linne stadsdel,8633
Stadsdelsnämndsområdet Norra Hisingen,Göteborgs kommun,,stadsdelsnämndsområde,2011-01-01,9,Norra Hisingen stadsdel,8634
Stadsdelsnämndsområdet Västra Göteborg,Göteborgs kommun,,stadsdelsnämndsområde,2011-01-01,9,Västra Göteborg stadsdel,8635
Stadsdelsnämndsområdet Västra Hisingen,Göteborgs kommun,,stadsdelsnämndsområde,2011-01-01,9,Västra Hisingen stadsdel,8636
Stadsdelsnämndsområdet Örgryte-Härlanda,Göteborgs kommun,,stadsdelsnämndsområde,2011-01-01,9,Örgryte-Härlanda stadsdel,8637
Stadsdelsnämndsområdet Östra Göteborg,Göteborgs kommun,,stadsdelsnämndsområde,2011-01-01,9,Östra Göteborg stadsdel,8638
"Norr, Malmö",Malmö kommun,Q15133975,stadsområde,2013-06-01,9,Stadsområde Norr,8462
"Öster, Malmö",Malmö kommun,Q15256331,stadsområde,2013-06-01,9,Stadsområde Öster,8463
"Söder, Malmö",Malmö kommun,Q15256329,stadsområde,2013-06-01,9,Stadsområde Söder,8464
"Väster, Malmö",Malmö kommun,Q15256330,stadsområde,2013-06-01,9,Stadsområde Väster,8465
"Innerstaden, Malmö",Malmö kommun,Q15256332,stadsområde,2013-06-01,9,Stadsområde Innerstaden,8466
Bromma stadsdelsområde,Stockholms kommun,Q10436033,stadsdelsområde,1997-01-01,9,Bromma stadsdel,8511
