"id","start","end","scb","wikidata","land","parent"
"Blekinge län",0,9,10,"Q102377","Götaland","Sweden"
"Dalarnas län",0,9,20,"Q103732","Svealand","Sweden"
"Gävleborgs län",0,9,21,"Q103699","Norrland","Sweden"
"Hallands län",0,9,13,"Q103691","Götaland","Sweden"
"Jämtlands län",0,9,23,"Q103679","Norrland","Sweden"
"Jönköpings län",0,9,6,"Q103672","Götaland","Sweden"
"Kalmar län",0,9,8,"Q103707","Götaland","Sweden"
"Kronobergs län",0,9,7,"Q104746","Götaland","Sweden"
"Norrbottens län",0,9,25,"Q103686","Norrland","Sweden"
"Örebro län",0,9,18,"Q104257","Svealand","Sweden"
"Östergötlands län",0,9,5,"Q104940","Svealand","Sweden"
"Skåne län",0,9,12,"Q103659","Götaland","Sweden"
"Södermanlands län",0,9,4,"Q106915","Svealand","Sweden"
"Stockholms län",0,9,1,"Q104231","Svealand","Sweden"
"Uppsala län",0,9,3,"Q104926","Svealand","Sweden"
"Värmlands län",0,9,17,"Q106789","Svealand","Sweden"
"Västerbottens län",0,9,24,"Q104877","Norrland","Sweden"
"Västernorrlands län",0,9,22,"Q104891","Norrland","Sweden"
"Västmanlands län",0,9,19,"Q105075","Svealand","Sweden"
"Västra Götalands län","1998-01-01",9,14,"Q103093","Götaland","Sweden"
"Skaraborgs län",0,"1997-12-31",16,"Q922842","Götaland","Sweden"
"Älvsborgs län",0,"1997-12-31",15,"Q254990","Götaland","Sweden"
"Göteborgs och Bohus län",0,"1997-12-31",14,"Q579801","Götaland","Sweden"
