id,parent
Austria,EU-28
Belgium,EU-28
Bulgaria,EU-28
Cyprus,EU-28
Czech Republic,EU-28
Germany,EU-28
Germany,EU-27
Germany,EU-25
Germany,Euro area
Germany,Euro area 18
Germany,Euro area 19
Denmark,EU-28
Estonia,EU-28
Greece,EU-28
Spain,EU-28
Finland,EU-28
France,EU-28
Croatia,EU-28
Hungary,EU-28
Ireland,EU-28
Iceland,NA
Italy,EU-28
Japan,NA
Lithuania,EU-28
Luxembourg,EU-28
Latvia,EU-28
Malta,EU-28
Netherlands,EU-28
Norway,NA
Poland,EU-28
Portugal,EU-28
Romania,EU-28
Sweden,EU-28
Slovenia,EU-28
Slovakia,EU-28
Turkey,NA
United Kingdom of Great Britain,EU-28
United States of America,NA
