id,label,start,end,scb,wikidata,parent,metro,brå_id,desc
Upplands Väsby kommun,Upplands Väsby kommun,0,9,114,Q499425,Stockholms län,Storstockholm,8539,
Vallentuna kommun,Vallentuna kommun,0,9,115,Q501526,Stockholms län,Storstockholm,8540,
Österåkers kommun,Österåkers kommun,0,9,117,Q117728,Stockholms län,Storstockholm,8543,
Värmdö kommun,Värmdö kommun,0,9,120,Q493841,Stockholms län,Storstockholm,8542,
Järfälla kommun,Järfälla kommun,0,9,123,Q301259,Stockholms län,Storstockholm,8500,
Ekerö kommun,Ekerö kommun,0,9,125,Q492614,Stockholms län,Storstockholm,8497,
Huddinge kommun,Huddinge kommun,0,9,126,Q492575,Stockholms län,Storstockholm,8499,
Botkyrka kommun,Botkyrka kommun,0,9,127,Q113718,Stockholms län,Storstockholm,8495,
Salems kommun,Salems kommun,0,9,128,Q1255130,Stockholms län,Storstockholm,8506,
Haninge kommun,Haninge kommun,0,9,136,Q113692,Stockholms län,Storstockholm,8498,
Tyresö kommun,Tyresö kommun,0,9,138,Q113730,Stockholms län,Storstockholm,8536,
Upplands-Bro kommun,Upplands-Bro kommun,0,9,139,Q113673,Stockholms län,Storstockholm,8538,
Nykvarns kommun,Nykvarns kommun,1997-01-01,9,140,Q499460,Stockholms län,Storstockholm,8504,
Täby kommun,Täby kommun,0,9,160,Q493066,Stockholms län,Storstockholm,8537,
Danderyds kommun,Danderyds kommun,0,9,162,Q113679,Stockholms län,Storstockholm,8496,
Sollentuna kommun,Sollentuna kommun,0,9,163,Q503746,Stockholms län,Storstockholm,8508,
Stockholms kommun,Stockholms kommun,0,9,180,Q506250,Stockholms län,Storstockholm,8510,
Södertälje kommun,Södertälje kommun,0,9,181,Q516336,Stockholms län,Storstockholm,8535,
Nacka kommun,Nacka kommun,0,9,182,Q946647,Stockholms län,Storstockholm,8502,
Sundbybergs kommun,Sundbybergs kommun,0,9,183,Q972564,Stockholms län,Storstockholm,8534,
Solna kommun,Solna kommun,0,9,184,Q109010,Stockholms län,Storstockholm,8509,
Lidingö kommun,Lidingö kommun,0,9,186,Q3120654,Stockholms län,Storstockholm,8501,
Vaxholms kommun,Vaxholms kommun,0,9,187,Q500090,Stockholms län,Storstockholm,8541,
Norrtälje kommun,Norrtälje kommun,0,9,188,Q214048,Stockholms län,Storstockholm,8503,
Sigtuna kommun,Sigtuna kommun,0,9,191,Q216915,Stockholms län,Storstockholm,8507,
Nynäshamns kommun,Nynäshamns kommun,0,9,192,Q505090,Stockholms län,Storstockholm,8505,
Håbo kommun,Håbo kommun,0,9,305,Q511253,Uppsala län,,8557,
Älvkarleby kommun,Älvkarleby kommun,0,9,319,Q59858,Uppsala län,,8561,
Uppsala kommun före 2003,Uppsala kommun före 2003,0,2002-12-31,380,Q59091,Uppsala län,,8560,Uppsala kommun before Knivsta kommun was separated
Knivsta kommun,Knivsta kommun,2003-01-01,9,330,Q504465,Uppsala län,,8558,
Heby kommun före 2007,Heby kommun före 2007,0,2006-12-31,1917,Q516308,Västmanlands län,,,Heby kommun before they switched county
Heby kommun,Heby kommun,2007-01-01,9,331,Q516308,Uppsala län,,8556,Heby kommun after they switched county in 2007
Tierps kommun,Tierps kommun,0,9,360,Q510198,Uppsala län,,8559,
Uppsala kommun,Uppsala kommun,0,9,380,Q59091,Uppsala län,,8560,
Enköpings kommun,Enköpings kommun,0,9,381,Q509568,Uppsala län,,8555,
Östhammars kommun,Östhammars kommun,0,9,382,Q59093,Uppsala län,,8562,
Vingåkers kommun,Vingåkers kommun,0,9,428,Q249378,Södermanlands län,,8553,
Gnesta kommun,Gnesta kommun,0,9,461,Q239332,Södermanlands län,,8547,
Nyköpings kommun,Nyköpings kommun,0,9,480,Q500267,Södermanlands län,,8549,
Oxelösunds kommun,Oxelösunds kommun,0,9,481,Q505246,Södermanlands län,,8550,
Flens kommun,Flens kommun,0,9,482,Q27982,Södermanlands län,,8546,
Katrineholms kommun,Katrineholms kommun,0,9,483,Q508140,Södermanlands län,,8548,
Eskilstuna kommun,Eskilstuna kommun,0,9,484,Q503144,Södermanlands län,,8545,
Strängnäs kommun,Strängnäs kommun,0,9,486,Q501532,Södermanlands län,,8551,
Trosa kommun,Trosa kommun,0,9,488,Q505064,Södermanlands län,,8552,
Ödeshögs kommun,Ödeshögs kommun,0,9,509,Q293970,Östergötlands län,,8723,
Ydre kommun,Ydre kommun,0,9,512,Q515699,Östergötlands län,,8721,
Kinda kommun,Kinda kommun,0,9,513,Q515299,Östergötlands län,,8713,
Boxholms kommun,Boxholms kommun,0,9,560,Q509514,Östergötlands län,,8711,
Åtvidabergs kommun,Åtvidabergs kommun,0,9,561,Q271340,Östergötlands län,,8722,
Finspångs kommun,Finspångs kommun,0,9,562,Q503180,Östergötlands län,,8712,
Valdemarsviks kommun,Valdemarsviks kommun,0,9,563,Q509997,Östergötlands län,,8720,
Linköpings kommun,Linköpings kommun,0,9,580,Q499410,Östergötlands län,,8714,
Norrköpings kommun,Norrköpings kommun,0,9,581,Q504676,Östergötlands län,,8717,
Söderköpings kommun,Söderköpings kommun,0,9,582,Q515680,Östergötlands län,,8718,
Motala kommun,Motala kommun,0,9,583,Q508108,Östergötlands län,,8716,
Vadstena kommun,Vadstena kommun,0,9,584,Q515969,Östergötlands län,,8719,
Mjölby kommun,Mjölby kommun,0,9,586,Q267030,Östergötlands län,,8715,
Aneby kommun,Aneby kommun,0,9,604,Q503167,Jönköpings län,,8394,
Gnosjö kommun,Gnosjö kommun,0,9,617,Q509609,Jönköpings län,,8397,
Mullsjö kommun,Mullsjö kommun,0,9,642,Q505076,Jönköpings län,,8400,
Habo kommun,Habo kommun,0,9,643,Q503198,Jönköpings län,,8398,
Gislaveds kommun,Gislaveds kommun,0,9,662,Q505259,Jönköpings län,,8396,
Vaggeryds kommun,Vaggeryds kommun,0,9,665,Q605329,Jönköpings län,,8404,
Jönköpings kommun,Jönköpings kommun,0,9,680,Q504689,Jönköpings län,,8399,
Nässjö kommun,Nässjö kommun,0,9,682,Q505096,Jönköpings län,,8401,
Värnamo kommun,Värnamo kommun,0,9,683,Q280562,Jönköpings län,,8406,
Sävsjö kommun,Sävsjö kommun,0,9,684,Q505239,Jönköpings län,,8402,
Vetlanda kommun,Vetlanda kommun,0,9,685,Q505052,Jönköpings län,,8405,
Eksjö kommun,Eksjö kommun,0,9,686,Q512035,Jönköpings län,,8395,
Tranås kommun,Tranås kommun,0,9,687,Q505071,Jönköpings län,,8403,
Uppvidinge kommun,Uppvidinge kommun,0,9,760,Q515505,Kronobergs län,,8426,
Lessebo kommun,Lessebo kommun,0,9,761,Q509488,Kronobergs län,,8422,
Tingsryds kommun,Tingsryds kommun,0,9,763,Q515491,Kronobergs län,,8425,
Alvesta kommun,Alvesta kommun,0,9,764,Q182007,Kronobergs län,,8421,
Älmhults kommun,Älmhults kommun,0,9,765,Q254799,Kronobergs län,,8428,
Markaryds kommun,Markaryds kommun,0,9,767,Q240574,Kronobergs län,,8671,
Växjö kommun,Växjö kommun,0,9,780,Q500217,Kronobergs län,,8427,
Ljungby kommun,Ljungby kommun,0,9,781,Q504235,Kronobergs län,,8423,
