id,label,label_short,parent,disambiguation-affix,region_level,iso_code,wikidata,start,end
Østfold,Østfold fylke,Østfold,Norway,,county,,50614,0,9
Akershus,Akershus fylke,Akershus,Norway,,county,,50615,0,9
Hedmark,Hedmark fylke,Hedmark,Norway,,county,,50616,0,9
Oppland,Oppland fylke,Oppland,Norway,,county,,50617,0,9
Buskerud,Buskerud fylke,Buskerud,Norway,,county,,50618,0,9
Vestfold,Vestfold fylke,Vestfold,Norway,,county,,50619,0,9
Telemark,Telemark fylke,Telemark,Norway,,county,,2254,0,9
Aust-Agder,Aust-Agder fylke,Aust-Agder,Norway,,county,,50622,0,9
Vest-Agder,Vest-Agder fylke,Vest-Agder,Norway,,county,,50623,0,9
Rogaland,Rogaland fylke,Rogaland,Norway,,county,,50624,0,9
Hordaland,Hordaland fylke,Hordaland,Norway,,county,,50625,0,9
Sogn og Fjordane,Sogn og Fjordane fylke,Sogn og Fjordane,Norway,,county,,50626,0,9
Møre og Romsdal,Møre og Romsdal fylke,Møre og Romsdal,Norway,,county,,50627,0,9
Trøndelag,Trøndelag fylke,Trøndelag,Norway,,county,,127676,2018-01-01,9
Nordland,Nordland fylke,Nordland,Norway,,county,,50630,0,9
Troms,Troms fylke,Troms,Norway,,county,,50631,0,9
Finnmark,Finnmark fylke,Finnmark,Norway,,county,,50632,0,9
Sør-Trøndelag (until 2017-12-31),Sør-Trøndelag fylke,Sør-Trøndelag,Norway,,county,,7666506,0,2017-12-31
Nord-Trøndelag (until 2017-12-31),Nord-Trøndelag fylke,Nord-Trøndelag,Norway,,county,,50629,0,2017-12-31
