id,_id,label,label_short,parent,disambiguation-affix,region_level,iso_code,wikidata,start,end,_neighbours
Agdenes,Agdenes,Agdenes kommune,Agdenes,Trøndelag,,municipality,,392093,0,9,"Hitra,Ørland,Rissa (until 2017-12-31),Orkdal,Snillfjord,Indre Fosen (until 2019-12-31)"
Alstahaug,Alstahaug,Alstahaug kommune,Alstahaug,Nordland,,municipality,,217808,0,9,"Dønna,Herøy (Nordland),Leirfjord,Vefsn,Vevelstad,Vega"
Alta,Alta,Alta kommune,Alta,Finnmark,,municipality,,6535,0,9,"Hasvik,Hammerfest,Loppa,Kvalsund,Porsanger,Kautokeino,Karasjok,Kvænangen"
Alvdal,Alvdal,Alvdal kommune,Alvdal,Hedmark,,municipality,,48723,0,9,"Tynset,Rendalen,Stor-Elvdal,Folldal"
Andebu (until 2016-12-31),Andebu,Andebu kommune,Andebu,Vestfold,,municipality,,486687,0,2016-12-31,"Lardal (until 2017-12-31),Re,Stokke (until 2016-12-31),Sandefjord,Larvik"
Andøy,Andøy,Andøy kommune,Andøy,Nordland,,municipality,,113710,0,9,"Sortland,Øksnes,Torsken,Tranøy,Harstad"
Aremark,Aremark,Aremark kommune,Aremark,Østfold,,municipality,,48393,0,9,"Marker,Rakkestad,Halden"
Arendal,Arendal,Arendal kommune,Arendal,Aust-Agder,,municipality,,57919,0,9,"Grimstad,Froland,Tvedestrand"
Asker,Asker,Asker kommune,Asker,Akershus,,municipality,,56869,0,9,"Bærum,Røyken,Lier,Nesodden"
Askim,Askim,Askim kommune,Askim,Østfold,,municipality,,109469,0,9,"Spydeberg,Trøgstad,Eidsberg,Skiptvet"
Askvoll,Askvoll,Askvoll kommune,Askvoll,Sogn og Fjordane,,municipality,,504817,0,9,"Førde,Gaular,Flora,Naustdal,Fjaler,Solund,Flora"
Askøy,Askøy,Askøy kommune,Askøy,Hordaland,,municipality,,215374,0,9,"Radøy,Meland,Bergen,Fjell,Øygarden"
Audnedal,Audnedal,Audnedal kommune,Audnedal,Vest-Agder,,municipality,,499842,0,9,"Åseral,Marnardal,Lindesnes,Lyngdal,Hægebostad,Evje og Hornnes"
Aukra,Aukra,Aukra kommune,Aukra,Møre og Romsdal,,municipality,,489342,0,9,"Fræna,Molde,Midsund,Sandøy"
Aure,Aure,Aure kommune,Aure,Møre og Romsdal,,municipality,,499429,0,9,"Hemne,Kristiansund (Møre og Romsdal),Halsa,Tingvoll,Smøla,Hitra"
Aurland,Aurland,Aurland kommune,Aurland,Sogn og Fjordane,,municipality,,486700,0,9,"Vik,Lærdal,Hol,Ulvik,Voss"
Aurskog-Høland,Aurskog-Høland,Aurskog-Høland kommune,Aurskog-Høland,Akershus,,municipality,,56915,0,9,"Nes,Eidskog,Rømskog,Marker,Eidsberg,Trøgstad,Fet,Sørum"
Austevoll,Austevoll,Austevoll kommune,Austevoll,Hordaland,,municipality,,484008,0,9,"Sund,Bergen,Os (Hordaland),Tysnes,Fitjar,Bømlo"
Austrheim,Austrheim,Austrheim kommune,Austrheim,Hordaland,,municipality,,484080,0,9,"Gulen,Lindås,Radøy,Fedje"
Averøy,Averøy,Averøy kommune,Averøy,Møre og Romsdal,,municipality,,484111,0,9,"Kristiansund (Møre og Romsdal),Gjemnes,Eide"
