id,label,label_short,start,end,scb,wikidata,region_level,parent,metro,skl_kommungrupp_2017,skl_kommunhuvudgrupp_2017,brå_id,municipality_federation_fire,desc,neighbours
Ale kommun,Ale kommun,Ale,0,9,1440,Q498470,municipality,Västra Götalands län,Storgöteborg,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8617,Bohus kommunalförbund,,"Kungälvs kommun,Göteborgs kommun,Alingsås kommun,Lerums kommun,Trollhättans kommun,Lilla Edets kommun"
Alingsås kommun,Alingsås kommun,Alingsås,0,9,1489,Q503162,municipality,Västra Götalands län,Storgöteborg,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8618,Alingsås och Vårgårda kommunalförbund,,"Bollebygds kommun,Lerums kommun,Trollhättans kommun,Ale kommun,Vårgårda kommun,Essunga kommun"
Älmhults kommun,Älmhults kommun,Älmhult,0,9,765,Q254799,municipality,Kronobergs län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8428,,,"Hässleholms kommun,Olofströms kommun,Osby kommun,Tingsryds kommun,Alvesta kommun,Ljungby kommun,Markaryds kommun"
Älvdalens kommun,Älvdalens kommun,Älvdalen,0,9,2039,Q123855,municipality,Dalarnas län,,Landsbygdskommun med besöksnäring,Mindre städer tätorter och landsbygdskommuner,8363,Norra Dalarnas kommunalförbund,,"Härjedalens kommun,Mora kommun,Malung-Sälens kommun"
Alvesta kommun,Alvesta kommun,Alvesta,0,9,764,Q182007,municipality,Kronobergs län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8421,Värends kommunalförbund,,"Tingsryds kommun,Växjö kommun,Ljungby kommun,Älmhults kommun,Sävsjö kommun,Värnamo kommun"
Älvkarleby kommun,Älvkarleby kommun,Älvkarleby,0,9,319,Q59858,municipality,Uppsala län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8561,Gästrike kommunalförbund,,"Tierps kommun,Gävle kommun"
Älvsbyns kommun,Älvsbyns kommun,Älvsbyn,0,9,2560,Q255025,municipality,Norrbottens län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8438,,,"Arvidsjaurs kommun,Piteå kommun,Luleå kommun,Bodens kommun,Jokkmokks kommun"
Åmåls kommun,Åmåls kommun,Åmål,0,9,1492,Q271079,municipality,Västra Götalands län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8695,,,"Säffle kommun,Bengtsfors kommun,Melleruds kommun,Årjängs kommun"
Aneby kommun,Aneby kommun,Aneby,0,9,604,Q503167,municipality,Jönköpings län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8394,,,"Eksjö kommun,Ydre kommun,Tranås kommun,Nässjö kommun,Jönköpings kommun"
Ånge kommun,Ånge kommun,Ånge,0,9,2260,Q271107,municipality,Västernorrlands län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8602,Medelpads kommunalförbund,,"Bergs kommun,Härjedalens kommun,Ljusdals kommun,Nordanstigs kommun,Hudiksvalls kommun,Bräcke kommun,Sundsvalls kommun"
Ängelholms kommun,Ängelholms kommun,Ängelholm,0,9,1292,Q255206,municipality,Skåne län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8491,Nordvästra Skånes kommunalförbund,,"Helsingborgs kommun,Laholms kommun,Örkelljunga kommun,Klippans kommun,Åstorps kommun,Båstads kommun"
Arboga kommun,Arboga kommun,Arboga,0,9,1984,Q431271,municipality,Västmanlands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8605,Västra Mälardalens kommunalförbund,,"Kungsörs kommun,Eskilstuna kommun,Lindesbergs kommun,Örebro kommun,Köpings kommun"
Åre kommun,Åre kommun,Åre,0,9,2321,Q271153,municipality,Jämtlands län,,Landsbygdskommun med besöksnäring,Mindre städer tätorter och landsbygdskommuner,8391,,,"Bergs kommun,Krokoms kommun"
Årjängs kommun,Årjängs kommun,Årjäng,0,9,1765,Q2777887,municipality,Värmlands län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8579,,,"Säffle kommun,Åmåls kommun,Bengtsfors kommun,Dals-Eds kommun,Arvika kommun,Eda kommun"
